Original_Field_ID,Category,Section,Table_Name,SQL_Column_Name,SQL_Data_Type,Field_Type,Label
ir_rowe_3mo,general,,demographics_part_3,dem_ir_rowe_3mo,DECIMAL,calculated,IR (Rowe)
rom_vas_3mo,general,,demographics_part_3,dem_rom_vas_3mo,DECIMAL,slider,Give the overall range of motion of your affected/operated shoulder a mark out of 100 (100 being nor
csmasss_strength_3mo,general,,demographics_part_3,dem_csmasss_strength_3mo,DECIMAL,slider,Give the overall strength of your affected/operated shoulder a mark out of 100 (100 being normal)
sane_stability_3mo,general,,demographics_part_3,dem_sane_stability_3mo,DECIMAL,slider,Give the overall stability of your affected/operated shoulder a mark out of 100 (100 being normal)
ssv_3mo,general,,demographics_part_3,dem_ssv_3mo,DECIMAL,slider,Give your affected/operated shoulder an overall mark out of 100 (100 being normal)
ssv_rowe_3mo,general,,demographics_part_3,dem_ssv_rowe_3mo,DECIMAL,calculated,SSV (Rowe)
total_ases_3mo,general,,demographics_part_3,dem_total_ases_3mo,DECIMAL,calculated,Total ASES
total_csmasss_3mo,general,,demographics_part_3,dem_total_csmasss_3mo,DECIMAL,calculated,Total CS MASSS
total_rowe_3mo,general,,demographics_part_3,dem_total_rowe_3mo,DECIMAL,calculated,Total Rowe
shoulder_extension_3mo,general,,demographics_part_3,dem_shoulder_extension_3mo,VARCHAR(500),text,Shoulder Extension
shoulder_abduction_3mo,general,,demographics_part_3,dem_shoulder_abduction_3mo,VARCHAR(500),text,Shoulder Abduction
shoulder_er1_3mo,general,,demographics_part_3,dem_shoulder_er1_3mo,VARCHAR(500),text,Shoulder External Rotation with elbow at the side (ER1)
shoulder_er2_3mo,general,,demographics_part_3,dem_shoulder_er2_3mo,VARCHAR(500),text,Shoulder External Rotation with arm abducted at 90° (ER1)
shoulder_ir_3mo,general,,demographics_part_3,dem_shoulder_ir_3mo,VARCHAR(500),text,Shoulder Internal Rotation
date_6mo,general,,demographics_part_3,dem_date_6mo,DATE,date,Today's Date
lastname_6mo,general,,demographics_part_3,dem_lastname_6mo,VARCHAR(500),text,Surname
givenname_6mo,general,,demographics_part_3,dem_givenname_6mo,VARCHAR(500),text,First Name
dateofbirth_6mo,general,,demographics_part_3,dem_dateofbirth_6mo,DATE,date,Date of Birth
email_pt_6mo,general,,demographics_part_3,dem_email_pt_6mo,VARCHAR(255),email,Email
mobile_pt_6mo,general,,demographics_part_3,dem_mobile_pt_6mo,VARCHAR(500),text,Mobile Number
mainsport_6mo,general,,demographics_part_3,dem_mainsport_6mo,VARCHAR(500),text,Main Sport
mainsportgrade_6mo,general,,demographics_part_3,dem_mainsportgrade_6mo,VARCHAR(50),radio,Main Sport Grade
pain_vas_6mo,general,,demographics_part_3,dem_pain_vas_6mo,INTEGER,slider,How much pain in your shoulder do you have during your usual daily activities?
pain_rowe_6mo,general,,demographics_part_3,dem_pain_rowe_6mo,DECIMAL,calculated,Pain (Rowe)
csmasss_sleep_q_6mo,general,,demographics_part_3,dem_csmasss_sleep_q_6mo,VARCHAR(50),radio,Is your night's sleep disturbed by your shoulder?
p_ases_sleep_6mo,general,,demographics_part_3,dem_p_ases_sleep_6mo,VARCHAR(50),radio,Can you sleep on your affected shoulder comfortably
p_ases_bra_6mo,general,,demographics_part_3,dem_p_ases_bra_6mo,VARCHAR(50),radio,Can you wash your back / fasten your bra?
p_ases_coat_6mo,general,,demographics_part_3,dem_p_ases_coat_6mo,VARCHAR(50),radio,Can you put on your coat unassisted?
p_ases_comb_6mo,general,,demographics_part_3,dem_p_ases_comb_6mo,VARCHAR(50),radio,Can you comb / wash your hair?
p_ases_toilet_6mo,general,,demographics_part_3,dem_p_ases_toilet_6mo,VARCHAR(50),radio,Can you use toilet tissue?
p_ases_shelf_6mo,general,,demographics_part_3,dem_p_ases_shelf_6mo,VARCHAR(50),radio,Can you reach a shelf over your head?
p_ases_4kg_6mo,general,,demographics_part_3,dem_p_ases_4kg_6mo,VARCHAR(50),radio,Can you lift 4 kilograms above the level of your shoulder?
p_ases_throw_6mo,general,,demographics_part_3,dem_p_ases_throw_6mo,VARCHAR(50),radio,Can you throw a ball overhand?
full_work_6mo,general,,demographics_part_3,dem_full_work_6mo,VARCHAR(50),radio,Does your shoulder allow you to work full time at your usual job (if not working - your usual activi
rtw_6mo,general,,demographics_part_3,dem_rtw_6mo,VARCHAR(50),radio,What work are you currently able to do (if not working-your usual activities)?
full_work_csmasss_6mo,general,,demographics_part_3,dem_full_work_csmasss_6mo,DECIMAL,calculated,Full Work CS/MASSS
usual_sports_6mo,general,,demographics_part_3,dem_usual_sports_6mo,VARCHAR(50),radio,Does your shoulder allow you to do your usual sports?
usual_sports_csmasss_6mo,general,,demographics_part_3,dem_usual_sports_csmasss_6mo,DECIMAL,calculated,Usual Sports CS/MASSS
rts_6mo,general,,demographics_part_3,dem_rts_6mo,VARCHAR(50),radio,Are you able to do your usual sports/activities?
csmasss_comfortable_use_6mo,general,,demographics_part_3,dem_csmasss_comfortable_use_6mo,VARCHAR(50),radio,What level can you use your arm for painless activities?
rowe_subjective_instability_6mo,general,,demographics_part_3,dem_rowe_subjective_instability_6mo,VARCHAR(50),radio,Have you had a shoulder dislocation or do you feel apprehensive / fearful of a shoulder dislocation?
abd_pic_6mo,general,,demographics_part_3,dem_abd_pic_6mo,TEXT,display,Abduction
p_abd_6mo,general,,demographics_part_3,dem_p_abd_6mo,DECIMAL,slider,Give the range of motion of ABDUCTION (raising your arm to the side) of your affected/operated shoul
abd_rowe_6mo,general,,demographics_part_3,dem_abd_rowe_6mo,DECIMAL,calculated,Abduction (Rowe)
er_pic_6mo,general,,demographics_part_3,dem_er_pic_6mo,TEXT,display,(A) External rotation in Abduction and (B) External rotation in Adduction
p_aber_6mo,general,,demographics_part_3,dem_p_aber_6mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ABDUCTION (With your arm out to the side bringing y
p_ader_6mo,general,,demographics_part_3,dem_p_ader_6mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ADDUCTION (With your elbow in against your body tur
ader_rowe_6mo,general,,demographics_part_3,dem_ader_rowe_6mo,DECIMAL,calculated,ADER (Rowe)
ir_pic_6mo,general,,demographics_part_3,dem_ir_pic_6mo,TEXT,display,Internal Rotation
p_ir_6mo,general,,demographics_part_3,dem_p_ir_6mo,DECIMAL,slider,Give the range of motion of INTERNAL ROTATION (reaching up your back as far as possible) of your aff
ir_rowe_6mo,general,,demographics_part_3,dem_ir_rowe_6mo,DECIMAL,calculated,IR (Rowe)
rom_vas_6mo,general,,demographics_part_3,dem_rom_vas_6mo,DECIMAL,slider,Give the overall range of motion of your affected/operated shoulder a mark out of 100 (100 being nor
csmasss_strength_6mo,general,,demographics_part_3,dem_csmasss_strength_6mo,DECIMAL,slider,Give the overall strength of your affected/operated shoulder a mark out of 100 (100 being normal)
sane_stability_6mo,general,,demographics_part_3,dem_sane_stability_6mo,DECIMAL,slider,Give the overall stability of your affected/operated shoulder a mark out of 100 (100 being normal)
ssv_6mo,general,,demographics_part_3,dem_ssv_6mo,DECIMAL,slider,Give your affected/operated shoulder an overall mark out of 100 (100 being normal)
ssv_rowe_6mo,general,,demographics_part_3,dem_ssv_rowe_6mo,DECIMAL,calculated,SSV (Rowe)
total_ases_6mo,general,,demographics_part_3,dem_total_ases_6mo,DECIMAL,calculated,Total ASES
total_csmasss_6mo,general,,demographics_part_3,dem_total_csmasss_6mo,DECIMAL,calculated,Total CS MASSS
total_rowe_6mo,general,,demographics_part_3,dem_total_rowe_6mo,DECIMAL,calculated,Total Rowe
shoulder_extension_6mo,general,,demographics_part_3,dem_shoulder_extension_6mo,VARCHAR(500),text,Shoulder Extension
shoulder_abduction_6mo,general,,demographics_part_3,dem_shoulder_abduction_6mo,VARCHAR(500),text,Shoulder Abduction
shoulder_er1_6mo,general,,demographics_part_3,dem_shoulder_er1_6mo,VARCHAR(500),text,Shoulder External Rotation with elbow at the side (ER1)
shoulder_er2_6mo,general,,demographics_part_3,dem_shoulder_er2_6mo,VARCHAR(500),text,Shoulder External Rotation with arm abducted at 90° (ER1)
shoulder_ir_6mo,general,,demographics_part_3,dem_shoulder_ir_6mo,VARCHAR(500),text,Shoulder Internal Rotation
date_12mo,general,,demographics_part_3,dem_date_12mo,DATE,date,Today's Date
lastname_12mo,general,,demographics_part_3,dem_lastname_12mo,VARCHAR(500),text,Surname
givenname_12mo,general,,demographics_part_3,dem_givenname_12mo,VARCHAR(500),text,First Name
dateofbirth_12mo,general,,demographics_part_3,dem_dateofbirth_12mo,DATE,date,Date of Birth
email_pt_12mo,general,,demographics_part_3,dem_email_pt_12mo,VARCHAR(255),email,Email
mobile_pt_12mo,general,,demographics_part_3,dem_mobile_pt_12mo,VARCHAR(500),text,Mobile Number
mainsport_12mo,general,,demographics_part_3,dem_mainsport_12mo,VARCHAR(500),text,Main Sport
mainsportgrade_12mo,general,,demographics_part_3,dem_mainsportgrade_12mo,VARCHAR(50),radio,Main Sport Grade
pain_vas_12mo,general,,demographics_part_3,dem_pain_vas_12mo,INTEGER,slider,How much pain in your shoulder do you have during your usual daily activities?
pain_rowe_12mo,general,,demographics_part_3,dem_pain_rowe_12mo,DECIMAL,calculated,Pain (Rowe)
csmasss_sleep_q_12mo,general,,demographics_part_3,dem_csmasss_sleep_q_12mo,VARCHAR(50),radio,Is your night's sleep disturbed by your shoulder?
p_ases_sleep_12mo,general,,demographics_part_3,dem_p_ases_sleep_12mo,VARCHAR(50),radio,Can you sleep on your affected shoulder comfortably
p_ases_bra_12mo,general,,demographics_part_3,dem_p_ases_bra_12mo,VARCHAR(50),radio,Can you wash your back / fasten your bra?
p_ases_coat_12mo,general,,demographics_part_3,dem_p_ases_coat_12mo,VARCHAR(50),radio,Can you put on your coat unassisted?
p_ases_comb_12mo,general,,demographics_part_3,dem_p_ases_comb_12mo,VARCHAR(50),radio,Can you comb / wash your hair?
p_ases_toilet_12mo,general,,demographics_part_3,dem_p_ases_toilet_12mo,VARCHAR(50),radio,Can you use toilet tissue?
p_ases_shelf_12mo,general,,demographics_part_3,dem_p_ases_shelf_12mo,VARCHAR(50),radio,Can you reach a shelf over your head?
p_ases_4kg_12mo,general,,demographics_part_3,dem_p_ases_4kg_12mo,VARCHAR(50),radio,Can you lift 4 kilograms above the level of your shoulder?
p_ases_throw_12mo,general,,demographics_part_3,dem_p_ases_throw_12mo,VARCHAR(50),radio,Can you throw a ball overhand?
full_work_12mo,general,,demographics_part_3,dem_full_work_12mo,VARCHAR(50),radio,Does your shoulder allow you to work full time at your usual job (if not working - your usual activi
rtw_12mo,general,,demographics_part_3,dem_rtw_12mo,VARCHAR(50),radio,What work are you currently able to do (if not working-your usual activities)?
full_work_csmasss_12mo,general,,demographics_part_3,dem_full_work_csmasss_12mo,DECIMAL,calculated,Full Work CS/MASSS
usual_sports_12mo,general,,demographics_part_3,dem_usual_sports_12mo,VARCHAR(50),radio,Does your shoulder allow you to do your usual sports?
usual_sports_csmasss_12mo,general,,demographics_part_3,dem_usual_sports_csmasss_12mo,DECIMAL,calculated,Usual Sports CS/MASSS
rts_12mo,general,,demographics_part_3,dem_rts_12mo,VARCHAR(50),radio,Are you able to do your usual sports/activities?
csmasss_comfortable_use_12mo,general,,demographics_part_3,dem_csmasss_comfortable_use_12mo,VARCHAR(50),radio,What level can you use your arm for painless activities?
rowe_subjective_instability_12mo,general,,demographics_part_3,dem_rowe_subjective_instability_12mo,VARCHAR(50),radio,Have you had a shoulder dislocation or do you feel apprehensive / fearful of a shoulder dislocation?
abd_pic_12mo,general,,demographics_part_3,dem_abd_pic_12mo,TEXT,display,Abduction
p_abd_12mo,general,,demographics_part_3,dem_p_abd_12mo,DECIMAL,slider,Give the range of motion of ABDUCTION (raising your arm to the side) of your affected/operated shoul
abd_rowe_12mo,general,,demographics_part_3,dem_abd_rowe_12mo,DECIMAL,calculated,Abduction (Rowe)
er_pic_12mo,general,,demographics_part_3,dem_er_pic_12mo,TEXT,display,(A) External rotation in Abduction and (B) External rotation in Adduction
p_aber_12mo,general,,demographics_part_3,dem_p_aber_12mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ABDUCTION (With your arm out to the side bringing y
p_ader_12mo,general,,demographics_part_3,dem_p_ader_12mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ADDUCTION (With your elbow in against your body tur
ader_rowe_12mo,general,,demographics_part_3,dem_ader_rowe_12mo,DECIMAL,calculated,ADER (Rowe)
ir_pic_12mo,general,,demographics_part_3,dem_ir_pic_12mo,TEXT,display,Internal Rotation
p_ir_12mo,general,,demographics_part_3,dem_p_ir_12mo,DECIMAL,slider,Give the range of motion of INTERNAL ROTATION (reaching up your back as far as possible) of your aff
ir_rowe_12mo,general,,demographics_part_3,dem_ir_rowe_12mo,DECIMAL,calculated,IR (Rowe)
rom_vas_12mo,general,,demographics_part_3,dem_rom_vas_12mo,DECIMAL,slider,Give the overall range of motion of your affected/operated shoulder a mark out of 100 (100 being nor
csmasss_strength_12mo,general,,demographics_part_3,dem_csmasss_strength_12mo,DECIMAL,slider,Give the overall strength of your affected/operated shoulder a mark out of 100 (100 being normal)
sane_stability_12mo,general,,demographics_part_3,dem_sane_stability_12mo,DECIMAL,slider,Give the overall stability of your affected/operated shoulder a mark out of 100 (100 being normal)
ssv_12mo,general,,demographics_part_3,dem_ssv_12mo,DECIMAL,slider,Give your affected/operated shoulder an overall mark out of 100 (100 being normal)
ssv_rowe_12mo,general,,demographics_part_3,dem_ssv_rowe_12mo,DECIMAL,calculated,SSV (Rowe)
total_ases_12mo,general,,demographics_part_3,dem_total_ases_12mo,DECIMAL,calculated,Total ASES
total_csmasss_12mo,general,,demographics_part_3,dem_total_csmasss_12mo,DECIMAL,calculated,Total CS MASSS
total_rowe_12mo,general,,demographics_part_3,dem_total_rowe_12mo,DECIMAL,calculated,Total Rowe
shoulder_extension_12mo,general,,demographics_part_3,dem_shoulder_extension_12mo,VARCHAR(500),text,Shoulder Extension
shoulder_abduction_12mo,general,,demographics_part_3,dem_shoulder_abduction_12mo,VARCHAR(500),text,Shoulder Abduction
shoulder_er1_12mo,general,,demographics_part_3,dem_shoulder_er1_12mo,VARCHAR(500),text,Shoulder External Rotation with elbow at the side (ER1)
shoulder_er2_12mo,general,,demographics_part_3,dem_shoulder_er2_12mo,VARCHAR(500),text,Shoulder External Rotation with arm abducted at 90° (ER1)
shoulder_ir_12mo,general,,demographics_part_3,dem_shoulder_ir_12mo,VARCHAR(500),text,Shoulder Internal Rotation
date_24mo,general,,demographics_part_3,dem_date_24mo,DATE,date,Today's Date
lastname_24mo,general,,demographics_part_3,dem_lastname_24mo,VARCHAR(500),text,Surname
givenname_24mo,general,,demographics_part_3,dem_givenname_24mo,VARCHAR(500),text,First Name
dateofbirth_24mo,general,,demographics_part_3,dem_dateofbirth_24mo,DATE,date,Date of Birth
email_pt_24mo,general,,demographics_part_3,dem_email_pt_24mo,VARCHAR(255),email,Email
mobile_pt_24mo,general,,demographics_part_3,dem_mobile_pt_24mo,VARCHAR(500),text,Mobile Number
mainsport_24mo,general,,demographics_part_3,dem_mainsport_24mo,VARCHAR(500),text,Main Sport
mainsportgrade_24mo,general,,demographics_part_3,dem_mainsportgrade_24mo,VARCHAR(50),radio,Main Sport Grade
pain_vas_24mo,general,,demographics_part_3,dem_pain_vas_24mo,INTEGER,slider,How much pain in your shoulder do you have during your usual daily activities?
pain_rowe_24mo,general,,demographics_part_3,dem_pain_rowe_24mo,DECIMAL,calculated,Pain (Rowe)
csmasss_sleep_q_24mo,general,,demographics_part_3,dem_csmasss_sleep_q_24mo,VARCHAR(50),radio,Is your night's sleep disturbed by your shoulder?
p_ases_sleep_24mo,general,,demographics_part_3,dem_p_ases_sleep_24mo,VARCHAR(50),radio,Can you sleep on your affected shoulder comfortably
p_ases_bra_24mo,general,,demographics_part_3,dem_p_ases_bra_24mo,VARCHAR(50),radio,Can you wash your back / fasten your bra?
p_ases_coat_24mo,general,,demographics_part_3,dem_p_ases_coat_24mo,VARCHAR(50),radio,Can you put on your coat unassisted?
p_ases_comb_24mo,general,,demographics_part_3,dem_p_ases_comb_24mo,VARCHAR(50),radio,Can you comb / wash your hair?
p_ases_toilet_24mo,general,,demographics_part_3,dem_p_ases_toilet_24mo,VARCHAR(50),radio,Can you use toilet tissue?
p_ases_shelf_24mo,general,,demographics_part_3,dem_p_ases_shelf_24mo,VARCHAR(50),radio,Can you reach a shelf over your head?
p_ases_4kg_24mo,general,,demographics_part_3,dem_p_ases_4kg_24mo,VARCHAR(50),radio,Can you lift 4 kilograms above the level of your shoulder?
p_ases_throw_24mo,general,,demographics_part_3,dem_p_ases_throw_24mo,VARCHAR(50),radio,Can you throw a ball overhand?
full_work_24mo,general,,demographics_part_3,dem_full_work_24mo,VARCHAR(50),radio,Does your shoulder allow you to work full time at your usual job (if not working - your usual activi
rtw_24mo,general,,demographics_part_3,dem_rtw_24mo,VARCHAR(50),radio,What work are you currently able to do (if not working-your usual activities)?
full_work_csmasss_24mo,general,,demographics_part_3,dem_full_work_csmasss_24mo,DECIMAL,calculated,Full Work CS/MASSS
usual_sports_24mo,general,,demographics_part_3,dem_usual_sports_24mo,VARCHAR(50),radio,Does your shoulder allow you to do your usual sports?
usual_sports_csmasss_24mo,general,,demographics_part_3,dem_usual_sports_csmasss_24mo,DECIMAL,calculated,Usual Sports CS/MASSS
rts_24mo,general,,demographics_part_3,dem_rts_24mo,VARCHAR(50),radio,Are you able to do your usual sports/activities?
csmasss_comfortable_use_24mo,general,,demographics_part_3,dem_csmasss_comfortable_use_24mo,VARCHAR(50),radio,What level can you use your arm for painless activities?
rowe_subjective_instability_24mo,general,,demographics_part_3,dem_rowe_subjective_instability_24mo,VARCHAR(50),radio,Have you had a shoulder dislocation or do you feel apprehensive / fearful of a shoulder dislocation?
abd_pic_24mo,general,,demographics_part_3,dem_abd_pic_24mo,TEXT,display,Abduction
p_abd_24mo,general,,demographics_part_3,dem_p_abd_24mo,DECIMAL,slider,Give the range of motion of ABDUCTION (raising your arm to the side) of your affected/operated shoul
abd_rowe_24mo,general,,demographics_part_3,dem_abd_rowe_24mo,DECIMAL,calculated,Abduction (Rowe)
er_pic_24mo,general,,demographics_part_3,dem_er_pic_24mo,TEXT,display,(A) External rotation in Abduction and (B) External rotation in Adduction
p_aber_24mo,general,,demographics_part_3,dem_p_aber_24mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ABDUCTION (With your arm out to the side bringing y
p_ader_24mo,general,,demographics_part_3,dem_p_ader_24mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ADDUCTION (With your elbow in against your body tur
ader_rowe_24mo,general,,demographics_part_3,dem_ader_rowe_24mo,DECIMAL,calculated,ADER (Rowe)
ir_pic_24mo,general,,demographics_part_3,dem_ir_pic_24mo,TEXT,display,Internal Rotation
p_ir_24mo,general,,demographics_part_3,dem_p_ir_24mo,DECIMAL,slider,Give the range of motion of INTERNAL ROTATION (reaching up your back as far as possible) of your aff
ir_rowe_24mo,general,,demographics_part_3,dem_ir_rowe_24mo,DECIMAL,calculated,IR (Rowe)
rom_vas_24mo,general,,demographics_part_3,dem_rom_vas_24mo,DECIMAL,slider,Give the overall range of motion of your affected/operated shoulder a mark out of 100 (100 being nor
csmasss_strength_24mo,general,,demographics_part_3,dem_csmasss_strength_24mo,DECIMAL,slider,Give the overall strength of your affected/operated shoulder a mark out of 100 (100 being normal)
sane_stability_24mo,general,,demographics_part_3,dem_sane_stability_24mo,DECIMAL,slider,Give the overall stability of your affected/operated shoulder a mark out of 100 (100 being normal)
ssv_24mo,general,,demographics_part_3,dem_ssv_24mo,DECIMAL,slider,Give your affected/operated shoulder an overall mark out of 100 (100 being normal)
ssv_rowe_24mo,general,,demographics_part_3,dem_ssv_rowe_24mo,DECIMAL,calculated,SSV (Rowe)
total_ases_24mo,general,,demographics_part_3,dem_total_ases_24mo,DECIMAL,calculated,Total ASES
total_csmasss_24mo,general,,demographics_part_3,dem_total_csmasss_24mo,DECIMAL,calculated,Total CS MASSS
total_rowe_24mo,general,,demographics_part_3,dem_total_rowe_24mo,DECIMAL,calculated,Total Rowe
shoulder_extension_24mo,general,,demographics_part_3,dem_shoulder_extension_24mo,VARCHAR(500),text,Shoulder Extension
shoulder_abduction_24mo,general,,demographics_part_3,dem_shoulder_abduction_24mo,VARCHAR(500),text,Shoulder Abduction
shoulder_er1_24mo,general,,demographics_part_3,dem_shoulder_er1_24mo,VARCHAR(500),text,Shoulder External Rotation with elbow at the side (ER1)
shoulder_er2_24mo,general,,demographics_part_3,dem_shoulder_er2_24mo,VARCHAR(500),text,Shoulder External Rotation with arm abducted at 90° (ER1)
shoulder_ir_24mo,general,,demographics_part_3,dem_shoulder_ir_24mo,VARCHAR(500),text,Shoulder Internal Rotation
date_36mo,general,,demographics_part_3,dem_date_36mo,DATE,date,Today's Date
lastname_36mo,general,,demographics_part_3,dem_lastname_36mo,VARCHAR(500),text,Surname
givenname_36mo,general,,demographics_part_3,dem_givenname_36mo,VARCHAR(500),text,First Name
dateofbirth_36mo,general,,demographics_part_3,dem_dateofbirth_36mo,DATE,date,Date of Birth
email_pt_36mo,general,,demographics_part_3,dem_email_pt_36mo,VARCHAR(255),email,Email
mobile_pt_36mo,general,,demographics_part_3,dem_mobile_pt_36mo,VARCHAR(500),text,Mobile Number
mainsport_36mo,general,,demographics_part_3,dem_mainsport_36mo,VARCHAR(500),text,Main Sport
mainsportgrade_36mo,general,,demographics_part_3,dem_mainsportgrade_36mo,VARCHAR(50),radio,Main Sport Grade
pain_vas_36mo,general,,demographics_part_3,dem_pain_vas_36mo,INTEGER,slider,How much pain in your shoulder do you have during your usual daily activities?
pain_rowe_36mo,general,,demographics_part_3,dem_pain_rowe_36mo,DECIMAL,calculated,Pain (Rowe)
csmasss_sleep_q_36mo,general,,demographics_part_3,dem_csmasss_sleep_q_36mo,VARCHAR(50),radio,Is your night's sleep disturbed by your shoulder?
p_ases_sleep_36mo,general,,demographics_part_3,dem_p_ases_sleep_36mo,VARCHAR(50),radio,Can you sleep on your affected shoulder comfortably
p_ases_bra_36mo,general,,demographics_part_3,dem_p_ases_bra_36mo,VARCHAR(50),radio,Can you wash your back / fasten your bra?
p_ases_coat_36mo,general,,demographics_part_3,dem_p_ases_coat_36mo,VARCHAR(50),radio,Can you put on your coat unassisted?
p_ases_comb_36mo,general,,demographics_part_4,dem_p_ases_comb_36mo,VARCHAR(50),radio,Can you comb / wash your hair?
p_ases_toilet_36mo,general,,demographics_part_4,dem_p_ases_toilet_36mo,VARCHAR(50),radio,Can you use toilet tissue?
p_ases_shelf_36mo,general,,demographics_part_4,dem_p_ases_shelf_36mo,VARCHAR(50),radio,Can you reach a shelf over your head?
p_ases_4kg_36mo,general,,demographics_part_4,dem_p_ases_4kg_36mo,VARCHAR(50),radio,Can you lift 4 kilograms above the level of your shoulder?
p_ases_throw_36mo,general,,demographics_part_4,dem_p_ases_throw_36mo,VARCHAR(50),radio,Can you throw a ball overhand?
full_work_36mo,general,,demographics_part_4,dem_full_work_36mo,VARCHAR(50),radio,Does your shoulder allow you to work full time at your usual job (if not working - your usual activi
rtw_36mo,general,,demographics_part_4,dem_rtw_36mo,VARCHAR(50),radio,What work are you currently able to do (if not working-your usual activities)?
full_work_csmasss_36mo,general,,demographics_part_4,dem_full_work_csmasss_36mo,DECIMAL,calculated,Full Work CS/MASSS
usual_sports_36mo,general,,demographics_part_4,dem_usual_sports_36mo,VARCHAR(50),radio,Does your shoulder allow you to do your usual sports?
usual_sports_csmasss_36mo,general,,demographics_part_4,dem_usual_sports_csmasss_36mo,DECIMAL,calculated,Usual Sports CS/MASSS
rts_36mo,general,,demographics_part_4,dem_rts_36mo,VARCHAR(50),radio,Are you able to do your usual sports/activities?
csmasss_comfortable_use_36mo,general,,demographics_part_4,dem_csmasss_comfortable_use_36mo,VARCHAR(50),radio,What level can you use your arm for painless activities?
rowe_subjective_instability_36mo,general,,demographics_part_4,dem_rowe_subjective_instability_36mo,VARCHAR(50),radio,Have you had a shoulder dislocation or do you feel apprehensive / fearful of a shoulder dislocation?
abd_pic_36mo,general,,demographics_part_4,dem_abd_pic_36mo,TEXT,display,Abduction
p_abd_36mo,general,,demographics_part_4,dem_p_abd_36mo,DECIMAL,slider,Give the range of motion of ABDUCTION (raising your arm to the side) of your affected/operated shoul
abd_rowe_36mo,general,,demographics_part_4,dem_abd_rowe_36mo,DECIMAL,calculated,Abduction (Rowe)
er_pic_36mo,general,,demographics_part_4,dem_er_pic_36mo,TEXT,display,(A) External rotation in Abduction and (B) External rotation in Adduction
p_aber_36mo,general,,demographics_part_4,dem_p_aber_36mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ABDUCTION (With your arm out to the side bringing y
p_ader_36mo,general,,demographics_part_4,dem_p_ader_36mo,DECIMAL,slider,Give the range of motion of EXTERNAL ROTATION IN ADDUCTION (With your elbow in against your body tur
ader_rowe_36mo,general,,demographics_part_4,dem_ader_rowe_36mo,DECIMAL,calculated,ADER (Rowe)
ir_pic_36mo,general,,demographics_part_4,dem_ir_pic_36mo,TEXT,display,Internal Rotation
p_ir_36mo,general,,demographics_part_4,dem_p_ir_36mo,DECIMAL,slider,Give the range of motion of INTERNAL ROTATION (reaching up your back as far as possible) of your aff
ir_rowe_36mo,general,,demographics_part_4,dem_ir_rowe_36mo,DECIMAL,calculated,IR (Rowe)
rom_vas_36mo,general,,demographics_part_4,dem_rom_vas_36mo,DECIMAL,slider,Give the overall range of motion of your affected/operated shoulder a mark out of 100 (100 being nor
csmasss_strength_36mo,general,,demographics_part_4,dem_csmasss_strength_36mo,DECIMAL,slider,Give the overall strength of your affected/operated shoulder a mark out of 100 (100 being normal)
sane_stability_36mo,general,,demographics_part_4,dem_sane_stability_36mo,DECIMAL,slider,Give the overall stability of your affected/operated shoulder a mark out of 100 (100 being normal)
ssv_36mo,general,,demographics_part_4,dem_ssv_36mo,DECIMAL,slider,Give your affected/operated shoulder an overall mark out of 100 (100 being normal)
ssv_rowe_36mo,general,,demographics_part_4,dem_ssv_rowe_36mo,DECIMAL,calculated,SSV (Rowe)
total_ases_36mo,general,,demographics_part_4,dem_total_ases_36mo,DECIMAL,calculated,Total ASES
total_csmasss_36mo,general,,demographics_part_4,dem_total_csmasss_36mo,DECIMAL,calculated,Total CS MASSS
total_rowe_36mo,general,,demographics_part_4,dem_total_rowe_36mo,DECIMAL,calculated,Total Rowe
shoulder_extension_36mo,general,,demographics_part_4,dem_shoulder_extension_36mo,VARCHAR(500),text,Shoulder Extension
shoulder_abduction_36mo,general,,demographics_part_4,dem_shoulder_abduction_36mo,VARCHAR(500),text,Shoulder Abduction
shoulder_er1_36mo,general,,demographics_part_4,dem_shoulder_er1_36mo,VARCHAR(500),text,Shoulder External Rotation with elbow at the side (ER1)
shoulder_er2_36mo,general,,demographics_part_4,dem_shoulder_er2_36mo,VARCHAR(500),text,Shoulder External Rotation with arm abducted at 90° (ER1)
shoulder_ir_36mo,general,,demographics_part_4,dem_shoulder_ir_36mo,VARCHAR(500),text,Shoulder Internal Rotation
date_5y,general,,demographics_part_4,dem_date_5y,DATE,date,Today's Date
lastname_5y,general,,demographics_part_4,dem_lastname_5y,VARCHAR(500),text,Surname
givenname_5y,general,,demographics_part_4,dem_givenname_5y,VARCHAR(500),text,First Name
dateofbirth_5y,general,,demographics_part_4,dem_dateofbirth_5y,DATE,date,Date of Birth
email_pt_5y,general,,demographics_part_4,dem_email_pt_5y,VARCHAR(255),email,Email
mobile_pt_5y,general,,demographics_part_4,dem_mobile_pt_5y,VARCHAR(500),text,Mobile Number
